household_id,kwh_usage_fridge,kwh_usage_heater,kwh_usage_AC,kwh_usage_washer,kwh_usage_dryer,kwh_usage_oven,kwh_usage_microwave,kwh_usage_TV,kwh_usage_computer,kwh_usage_lighting
H2254,214.88,112.25,118.6,16.32,261.79,94.84,264.56,206.17,45.86,121.23
H2255,115.34,294.97,78.68,193.05,196.51,297.05,232.32,67.3,296.84,65.08
H2256,34.11,95.89,127.88,131.55,268.67,159.96,93.84,171.73,25.71,252.89
H2257,109.32,161.87,61.75,173.54,47.78,105.69,186.5,219.24,265.73,190.48
H2258,244.19,279.54,59.25,120.17,215.73,297.63,44.3,298.18,198.19,169.87
H2259,211.58,119.68,80.55,105.68,236.94,202.96,264.6,87.55,123.08,50.99
H2260,196.33,66.0,116.18,135.15,108.29,172.0,237.17,35.06,15.89,277.17
H2261,230.49,188.74,206.73,52.83,214.24,286.08,250.08,21.61,51.28,159.82
H2262,101.8,228.4,148.4,244.08,206.45,128.99,148.99,39.75,289.91,49.47
H2263,49.36,294.48,67.81,271.36,46.35,213.56,71.05,21.45,72.65,174.32
H2264,187.44,65.69,240.36,289.73,228.0,209.98,152.43,219.85,23.61,11.16
H2265,43.22,244.35,243.14,107.04,128.56,176.64,220.66,75.22,118.34,299.64
H2266,266.86,260.06,39.63,192.98,253.78,253.46,53.82,233.65,277.48,236.12
H2267,42.6,217.46,28.26,44.08,96.69,171.74,30.34,229.53,159.59,142.47
H2268,61.44,66.03,117.11,29.32,138.04,69.88,116.6,27.21,86.28,122.64
H2269,133.9,52.35,147.83,293.71,267.0,238.37,234.32,126.66,232.25,107.21
H2270,180.42,153.27,90.28,64.19,155.6,114.42,180.8,165.36,45.46,150.83
H2271,132.02,219.65,148.0,92.54,214.21,89.9,250.35,250.74,182.17,123.71
H2272,85.46,132.7,211.52,103.0,131.3,173.41,211.87,73.86,66.81,196.57
H2273,41.33,124.78,147.27,54.13,116.85,264.3,251.96,244.64,30.81,239.85
H2274,108.52,199.3,183.44,265.71,153.24,277.63,135.36,237.91,129.82,292.47
H2275,104.25,264.98,86.78,159.12,295.36,110.61,235.66,222.28,137.03,221.26
H2276,144.45,69.29,148.39,266.05,192.08,104.36,183.78,24.79,220.44,21.21
H2277,258.95,260.81,211.8,279.93,202.13,41.11,150.36,33.93,211.89,99.23
H2278,120.92,69.57,125.55,87.84,117.79,242.77,117.28,82.91,91.3,243.66
H2279,146.53,55.55,250.66,225.24,189.97,53.8,276.24,171.17,43.67,136.31
H2280,117.26,188.05,112.09,185.49,80.87,275.04,129.12,243.7,174.57,292.73
H2281,216.77,197.26,14.4,282.57,91.67,201.29,239.35,62.85,57.01,84.43
H2282,91.79,279.22,44.71,207.44,133.3,229.8,293.15,184.25,226.24,12.11
H2283,268.88,137.73,71.7,82.22,192.96,34.74,146.55,186.32,27.61,25.69
H2284,52.56,223.94,201.26,11.56,79.39,245.86,236.93,15.34,137.16,184.87
H2285,197.48,277.75,215.42,186.57,126.71,230.68,108.44,240.17,177.3,271.08
H2286,251.49,174.98,92.25,170.97,198.6,200.0,133.18,39.49,178.38,288.98
H2287,176.08,51.42,36.23,82.74,121.61,98.43,190.57,241.32,250.87,149.46
H2288,253.7,232.54,54.16,282.22,29.8,91.55,120.29,139.91,154.52,177.46
H2289,21.37,51.11,193.17,229.78,241.43,126.74,78.93,45.17,195.93,250.69
H2290,33.59,141.36,41.5,278.16,155.37,150.68,228.31,69.82,112.78,286.65
H2291,19.23,247.75,277.38,295.02,13.68,251.73,148.31,41.76,201.0,225.45
H2292,71.94,93.3,123.39,196.32,251.69,174.35,229.79,294.12,217.57,33.21
H2293,172.74,83.1,237.89,30.06,118.56,224.54,32.94,215.65,114.13,292.65
H2294,289.19,170.94,260.93,294.42,195.95,105.99,134.36,160.24,54.33,76.62
H2295,212.83,16.34,106.69,118.45,110.47,162.74,39.09,28.26,167.78,183.19
H2296,40.15,14.07,293.71,26.38,195.56,296.73,265.76,115.48,240.0,89.48
H2297,51.07,77.97,110.89,272.04,214.47,136.89,55.04,258.96,244.58,233.92
H2298,235.34,199.64,287.32,212.96,296.68,27.03,24.87,150.4,186.48,114.48
H2299,267.57,269.43,134.75,160.17,32.6,191.55,141.16,41.09,51.15,87.16
H2300,179.8,29.33,179.24,239.24,156.58,218.88,93.6,288.07,294.88,101.04
H2301,76.15,106.89,218.69,221.66,75.95,167.53,230.51,282.52,95.67,286.33
H2302,42.53,15.54,291.91,201.33,126.65,288.79,192.42,14.04,209.45,218.33
H2303,224.58,48.0,275.36,134.72,143.2,73.58,181.99,84.25,234.19,151.57
H2304,60.34,35.77,183.54,129.08,32.98,213.77,159.93,105.45,70.3,92.16
H2305,182.93,125.28,244.96,243.82,214.87,112.1,184.71,220.69,185.96,99.51
H2306,200.51,208.51,131.6,115.36,292.66,91.36,101.15,283.92,120.91,77.51
H2307,118.71,30.08,140.66,218.04,261.49,156.9,232.38,144.74,298.48,101.1
H2308,292.07,162.83,109.77,207.19,102.07,61.75,177.68,85.22,264.41,273.35
H2309,128.79,175.8,72.61,206.19,83.89,229.92,285.08,99.18,38.01,88.71
H2310,272.54,148.85,276.83,185.32,79.76,128.98,28.45,112.14,18.08,131.37
H2311,34.34,165.38,173.6,199.14,10.12,292.52,135.2,115.11,258.27,69.09
H2312,277.99,107.2,186.55,281.09,214.64,160.26,77.26,212.05,22.9,127.13
H2313,11.92,54.03,19.86,153.42,199.49,177.82,114.21,109.45,282.23,298.55
H2314,120.34,238.79,136.29,254.31,263.5,249.88,103.15,94.88,166.7,236.27
H2315,269.32,226.99,217.2,283.33,275.4,73.5,296.27,170.16,18.1,79.21
H2316,73.73,15.4,203.84,207.42,214.15,18.44,81.21,45.68,217.61,117.58
H2317,277.26,63.97,113.03,74.5,291.75,256.58,43.57,97.72,265.53,20.54
H2318,125.9,175.43,30.2,56.2,150.98,15.68,22.12,39.92,33.8,183.94
H2319,20.99,198.72,245.02,162.15,18.72,42.24,269.52,225.29,42.34,194.05
H2320,245.31,287.09,49.33,291.76,38.39,168.45,79.33,46.33,147.2,103.95
H2321,89.63,146.6,150.45,89.69,206.68,234.01,79.18,184.37,243.59,38.67
H2322,164.26,38.31,267.23,222.39,288.16,152.02,146.39,258.4,247.09,225.5
H2323,91.55,117.59,217.44,208.95,103.12,30.86,293.73,260.09,93.45,75.8
H2324,101.15,44.49,125.78,145.29,87.35,194.81,41.66,29.17,262.0,243.99
H2325,254.09,190.86,83.48,166.44,35.06,70.23,230.73,122.52,103.38,18.26
H2326,20.02,99.09,271.23,220.5,108.5,110.64,35.68,202.04,289.52,19.92
H2327,236.2,178.89,155.22,187.31,16.79,204.85,296.36,267.41,62.38,280.71
H2328,133.28,213.75,298.32,62.15,187.72,177.3,74.89,186.15,182.96,172.79
H2329,282.02,119.62,22.97,121.94,282.2,210.62,186.61,289.15,30.77,82.91
H2330,36.02,167.01,294.15,171.28,118.44,240.69,189.54,114.52,76.86,226.64
H2331,239.22,229.91,287.44,209.52,126.46,218.5,115.02,264.24,94.53,250.63
H2332,239.99,55.38,112.46,109.84,243.03,120.64,252.92,285.19,98.24,115.21
H2333,225.67,289.45,254.41,79.55,76.29,163.8,25.65,133.75,174.05,298.37
H2334,292.21,155.45,130.83,120.38,209.81,152.83,100.71,93.4,225.61,100.69
H2335,184.38,72.01,113.8,252.22,128.99,77.71,292.75,80.25,137.98,140.2
H2336,55.18,21.18,114.74,207.96,208.04,154.96,104.65,163.18,47.42,170.78
H2337,142.86,279.57,112.48,295.32,278.74,237.55,144.89,53.69,32.41,197.25
H2338,125.8,29.69,286.82,135.08,160.78,234.08,146.31,57.78,248.35,91.06
H2339,269.91,24.77,163.17,269.62,25.63,190.36,195.61,207.37,56.72,56.36
H2340,216.03,142.65,55.65,290.71,292.35,130.92,95.31,30.16,232.73,44.54
H2341,81.58,228.48,37.86,132.8,152.44,54.05,290.06,94.24,80.48,284.1
H2342,25.09,108.83,48.85,128.22,298.16,122.1,101.94,277.43,229.19,199.38
H2343,286.95,34.69,145.64,89.78,234.78,189.8,155.84,87.98,123.96,104.73
H2344,196.69,40.56,153.95,145.05,39.38,57.17,10.99,161.32,60.62,87.21
H2345,259.09,52.19,54.16,228.07,268.93,33.24,131.93,206.43,32.96,133.16
H2346,204.9,79.37,152.3,200.5,216.2,260.24,17.72,170.6,52.23,81.6
H2347,31.98,47.04,20.75,287.57,288.92,156.44,279.9,49.77,185.69,270.94
H2348,228.43,217.86,80.12,130.2,280.57,32.98,200.34,178.83,110.22,165.82
H2349,123.24,137.5,59.18,48.43,138.23,136.37,196.22,54.61,129.84,78.03
H2350,260.34,146.11,29.96,232.64,254.81,299.73,43.47,191.85,78.28,12.34
H2351,58.53,42.95,116.62,251.65,232.51,150.83,42.84,110.64,55.59,248.57
H2352,250.78,76.35,68.22,233.01,166.02,258.53,83.06,88.86,296.58,219.36
H2353,29.19,205.77,282.23,173.08,295.85,157.26,61.73,66.97,230.22,265.53
H2354,126.66,218.16,141.3,40.65,277.71,242.56,201.39,172.49,77.1,294.17
H2355,275.66,73.32,46.17,248.7,279.71,32.29,20.28,83.09,29.56,249.83
H2356,192.48,57.49,277.07,169.36,257.31,232.26,240.74,114.59,46.49,215.24
H2357,26.94,210.32,126.46,288.53,209.01,222.27,119.38,182.68,297.81,117.93
H2358,287.59,168.56,46.78,281.93,298.53,83.89,113.3,267.44,100.89,186.38
H2359,207.43,37.71,248.5,59.39,287.39,77.88,286.78,124.61,88.4,93.24
H2360,83.46,296.59,220.31,100.28,130.76,65.9,17.36,62.77,59.82,21.25
H2361,26.05,231.31,254.3,181.55,159.77,51.43,264.15,298.72,26.35,233.65
H2362,29.98,297.29,61.39,33.21,221.31,219.21,273.54,121.66,155.31,21.94
H2363,76.48,85.25,89.42,215.42,103.39,68.13,103.89,272.96,278.8,144.6
H2364,199.2,108.41,36.64,240.93,184.71,96.52,293.91,63.24,43.33,26.78
H2365,126.73,289.73,236.19,82.66,126.97,286.08,190.34,49.7,99.55,71.43
H2366,50.2,46.97,219.94,128.74,155.76,16.51,126.22,35.22,175.27,213.77
H2367,203.94,23.23,151.72,286.54,251.69,16.94,234.11,234.94,81.4,107.31
H2368,294.75,51.02,101.32,271.35,24.21,128.08,124.15,20.45,199.85,257.66
H2369,182.3,162.56,213.39,192.84,19.45,177.85,71.36,248.87,12.89,250.42
H2370,93.28,129.1,25.76,171.13,213.89,203.65,232.78,20.93,23.63,148.09
H2371,225.39,75.69,95.29,39.37,52.89,126.09,192.9,87.28,103.56,201.52
H2372,203.57,29.77,219.73,295.83,276.18,195.89,100.38,168.69,252.29,40.07
H2373,262.32,291.87,150.14,201.86,224.87,112.78,56.73,271.85,249.92,48.82
H2374,78.76,65.12,160.24,61.05,180.14,258.84,159.37,243.09,150.41,102.87
H2375,247.61,279.25,127.54,134.51,57.86,217.39,90.4,266.74,103.47,259.32
H2376,184.11,266.08,170.33,232.8,189.85,203.84,296.19,129.36,151.77,80.24
H2377,262.96,188.27,15.42,163.24,279.6,172.66,128.08,37.93,12.85,174.94
H2378,22.5,292.74,138.4,92.5,60.65,208.95,190.26,70.61,264.9,54.74
H2379,23.25,263.14,247.93,68.59,217.53,130.27,256.21,131.02,70.53,155.81
H2380,85.5,145.82,195.37,235.32,76.05,127.83,208.36,28.2,261.51,168.08
H2381,135.38,146.91,92.72,293.08,47.91,129.72,22.29,180.6,221.24,54.57
H2382,200.9,288.64,140.43,16.47,183.44,208.69,286.63,195.44,84.46,53.83
H2383,148.15,213.18,186.9,151.26,247.34,206.67,282.22,200.84,52.55,176.68
H2384,65.75,107.01,105.62,252.07,230.38,102.14,259.16,27.64,289.39,263.58
H2385,291.04,129.89,248.3,201.08,297.98,57.02,204.66,278.59,208.82,66.67
H2386,49.94,25.41,49.19,169.23,135.31,119.61,81.74,129.0,280.07,129.74
H2387,298.6,108.52,69.61,13.78,85.83,158.31,203.27,139.25,149.19,124.44
H2388,190.39,239.48,276.93,285.97,139.93,24.12,230.13,91.95,63.97,262.56
H2389,290.13,165.4,110.23,180.02,190.11,211.08,84.75,32.06,83.05,298.46
H2390,196.08,148.84,21.37,91.44,109.24,143.01,158.93,130.14,38.67,244.6
H2391,286.9,186.89,277.88,89.1,108.38,60.31,234.17,253.5,10.58,250.74
H2392,254.24,66.53,192.45,36.32,222.54,245.22,183.71,180.84,191.01,256.24
H2393,11.22,287.52,240.65,86.19,277.75,39.12,241.1,179.92,71.14,298.39
H2394,289.94,40.9,270.95,76.86,103.14,40.18,78.97,109.81,131.97,285.17
H2395,277.51,298.0,293.49,163.26,286.84,293.59,43.73,251.51,52.85,142.89
H2396,116.12,176.11,225.37,186.38,228.69,123.3,23.68,88.4,115.62,11.54
H2397,218.03,280.37,145.33,109.61,282.32,191.77,183.43,187.42,203.67,82.57
H2398,70.21,275.16,220.89,85.73,116.66,182.26,126.02,296.39,57.99,127.24
H2399,197.95,94.45,183.24,280.95,233.36,46.85,251.55,222.49,267.87,133.9
H2400,212.05,290.34,135.09,184.92,90.66,293.8,293.41,92.06,68.23,264.66
H2401,122.75,120.5,104.11,37.69,156.33,278.26,135.38,35.29,98.42,143.66
H2402,44.01,55.35,153.59,269.25,45.84,162.03,219.31,221.35,43.25,33.07
H2403,106.02,134.22,187.44,52.65,293.65,109.45,290.95,175.74,225.49,271.29
H2404,55.28,287.61,117.68,98.99,212.42,126.07,115.46,113.54,45.46,83.22
H2405,271.13,261.49,257.55,276.42,255.09,74.59,69.56,283.73,223.47,159.15
H2406,266.69,224.41,55.21,295.18,223.91,66.85,211.61,291.67,68.05,149.71
H2407,76.95,201.34,105.11,113.09,215.95,221.38,262.32,75.21,44.92,162.93
H2408,92.14,94.34,39.72,184.94,298.54,240.72,25.84,192.24,48.94,168.89
H2409,299.36,95.32,262.54,72.02,33.37,187.01,162.65,87.66,41.26,271.29
H2410,206.3,166.76,213.24,93.48,86.07,103.58,289.91,46.0,229.17,228.12
H2411,86.21,95.63,108.76,275.63,138.14,273.23,148.0,81.82,13.64,205.5
H2412,204.96,167.31,141.4,140.42,294.89,32.04,121.73,198.01,273.04,268.12
H2413,173.51,25.47,51.02,295.63,82.68,129.46,222.39,183.3,83.78,29.78
H2414,197.22,80.06,67.78,150.97,137.78,241.9,136.58,172.95,214.05,132.42
H2415,44.21,111.18,37.84,39.86,71.01,241.64,137.58,32.96,120.42,251.36
H2416,103.46,186.35,258.49,122.06,60.35,156.21,250.06,90.4,221.55,111.64
H2417,263.3,198.99,39.95,195.53,59.03,150.08,60.32,71.47,10.56,64.97
H2418,71.19,188.22,162.65,271.58,123.11,163.2,100.64,124.67,248.98,285.15
H2419,287.42,128.63,260.6,240.56,237.45,82.88,22.9,51.87,35.86,112.38
H2420,66.99,45.68,262.83,119.69,227.74,224.5,131.11,20.54,115.41,166.37
H2421,31.34,209.25,128.9,70.07,242.72,35.55,161.66,62.52,94.63,195.25
H2422,233.76,108.92,236.32,229.29,99.14,125.41,128.22,164.22,74.72,211.0
H2423,253.41,275.8,106.21,225.21,102.4,147.43,70.73,77.07,250.5,36.41
H2424,249.76,71.3,290.98,99.59,78.78,229.76,78.92,252.44,78.91,33.69
H2425,228.62,71.12,61.69,217.77,148.45,228.31,45.58,183.49,142.2,250.44
H2426,204.11,109.45,235.54,127.39,211.94,292.45,232.39,23.39,297.52,239.79
H2427,140.13,261.88,169.4,172.06,100.36,91.86,259.96,68.85,183.58,76.0
H2428,87.63,260.17,298.08,33.45,115.97,157.69,283.57,127.73,145.95,268.98
H2429,278.75,121.62,269.94,65.26,172.5,149.39,242.61,285.03,207.93,39.26
H2430,263.4,179.31,151.31,67.16,24.78,46.4,249.54,197.54,97.02,64.85
H2431,265.28,93.44,139.3,97.88,23.43,78.84,125.67,245.65,280.11,113.76
H2432,137.61,75.75,262.77,17.0,10.47,290.14,246.94,238.71,233.68,260.94
H2433,242.22,26.35,128.83,71.51,228.75,43.17,74.97,23.13,264.08,177.63
H2434,16.04,272.61,222.13,122.08,97.24,28.95,120.36,249.73,137.42,66.23
H2435,230.45,214.55,105.57,138.19,100.19,142.35,71.26,248.03,78.12,298.92
H2436,90.9,134.0,43.9,189.02,27.11,72.36,177.88,33.96,110.45,202.3
H2437,205.56,213.96,15.6,69.22,122.07,218.4,266.56,264.48,129.05,205.03
H2438,104.07,122.02,154.27,85.2,43.18,128.7,135.21,124.73,206.53,33.24
H2439,209.95,68.42,84.5,233.37,125.84,100.55,152.41,86.69,206.48,29.41
H2440,276.59,64.5,89.16,219.44,259.63,67.44,124.4,253.1,44.64,145.02
H2441,63.01,173.32,150.64,209.9,91.6,252.49,147.49,144.62,273.94,228.25
H2442,80.98,115.65,251.3,165.01,185.91,20.16,163.3,129.27,271.98,12.2
H2443,70.85,38.22,70.23,114.56,80.16,23.62,251.87,135.27,20.63,85.37
H2444,168.77,240.79,210.89,57.35,176.67,97.08,224.01,153.13,22.68,218.5
H2445,150.12,158.69,183.16,171.07,165.17,109.44,265.35,190.03,144.68,217.08
H2446,84.41,144.55,200.59,159.5,143.34,68.47,274.46,50.23,135.95,13.25
H2447,163.6,49.55,28.65,234.02,270.46,289.22,238.83,274.08,143.17,194.46
H2448,131.17,180.96,214.68,220.49,191.86,77.52,217.78,238.21,232.89,66.71
H2449,291.56,14.44,244.64,189.08,198.22,77.28,177.2,95.5,183.91,284.53
H2450,284.66,195.94,73.84,232.67,211.35,39.66,138.53,92.65,251.51,55.46
H2451,96.65,59.89,219.84,220.3,95.69,263.29,67.57,148.69,60.05,116.05
H2452,81.72,71.96,105.07,56.14,173.09,273.5,115.08,234.69,46.21,208.46
H2453,206.41,74.95,260.9,244.77,75.74,199.12,211.61,66.69,67.86,265.3
H2454,26.74,217.9,64.45,59.66,181.92,185.83,144.52,22.02,73.43,47.67
H2455,69.37,198.72,184.82,208.09,119.78,93.24,102.46,293.68,145.35,215.28
H2456,85.23,160.89,288.07,208.61,67.96,167.68,297.48,230.23,28.71,203.73
H2457,82.68,134.81,295.04,127.9,241.63,189.11,234.75,182.07,216.98,211.5
H2458,280.22,238.34,84.93,12.67,178.69,91.79,119.5,98.49,220.59,65.0
H2459,52.14,75.75,286.14,273.86,44.96,208.84,245.15,22.72,294.93,204.38
H2460,267.59,70.36,22.86,207.58,28.27,63.85,280.06,114.93,290.28,30.32
H2461,280.78,54.9,65.74,259.04,46.73,194.34,207.67,137.67,203.83,118.24
H2462,298.28,261.09,277.06,79.03,36.81,282.69,76.42,101.59,124.04,11.99
H2463,67.69,271.57,282.55,80.6,133.02,102.78,260.07,100.57,68.69,285.86
H2464,159.36,212.21,50.32,299.71,37.44,50.68,286.8,130.76,249.71,248.49
H2465,162.79,198.51,225.02,199.53,274.57,78.43,41.27,145.57,118.64,253.35
H2466,133.11,234.76,123.93,183.35,69.7,214.59,214.3,251.47,208.78,157.09
H2467,108.17,252.18,41.59,266.08,50.45,171.54,111.14,60.14,178.69,215.51
H2468,93.45,207.06,55.17,110.46,91.92,180.6,197.97,37.4,181.78,199.74
H2469,82.69,195.44,143.76,172.53,224.79,154.88,27.4,26.55,167.28,15.65
H2470,236.76,52.36,192.58,19.33,16.87,74.66,237.83,130.64,151.08,122.23
H2471,19.22,23.48,225.31,46.03,237.42,189.47,74.27,74.86,239.69,82.61
H2472,55.88,291.25,45.69,266.38,243.05,219.68,176.75,222.12,286.69,74.31
H2473,250.28,140.46,234.96,30.52,256.54,228.02,256.97,160.69,60.85,141.7
H2474,40.89,81.38,212.02,238.22,299.92,170.19,29.15,290.21,290.23,218.68
H2475,18.26,74.9,171.06,23.03,22.44,145.92,63.28,41.86,234.5,78.17
H2476,168.53,263.81,254.58,175.21,28.26,229.68,285.39,113.26,187.24,288.52
H2477,239.81,89.33,61.27,112.6,284.81,253.01,261.29,30.85,47.06,182.07
H2478,234.12,56.39,192.65,61.38,29.59,279.6,39.69,85.71,41.69,155.19
H2479,226.25,209.08,279.86,264.14,155.15,153.38,215.88,209.54,153.45,18.44
H2480,51.02,83.83,29.13,255.53,291.46,169.7,124.77,184.33,291.88,240.09
H2481,216.29,233.16,280.33,188.93,70.04,270.24,156.1,236.62,137.35,86.89
H2482,211.38,46.62,104.16,40.4,129.74,73.6,263.45,130.94,158.26,96.74
H2483,290.02,294.97,58.76,134.48,112.38,262.23,131.58,291.12,47.15,145.61
H2484,244.65,20.19,194.58,20.3,178.11,248.84,244.49,282.83,219.36,10.77
H2485,273.26,267.66,281.36,250.76,52.38,180.02,230.76,235.66,263.99,148.18
H2486,105.7,44.05,51.14,156.56,221.36,91.18,103.88,70.27,108.0,17.42
H2487,231.75,24.37,18.46,205.4,44.68,294.03,141.35,156.68,289.58,148.01
H2488,140.04,283.04,190.33,258.77,218.75,287.31,118.71,153.06,247.83,270.72
H2489,216.14,62.33,88.47,209.53,96.89,123.3,293.01,26.65,136.91,18.73
H2490,122.51,97.2,205.87,208.28,110.9,24.47,176.44,67.37,145.58,221.41
H2491,96.02,170.88,39.61,208.38,56.3,44.73,171.57,102.69,223.96,44.96
H2492,160.06,271.29,82.62,231.75,272.54,65.74,138.58,273.9,298.08,96.24
H2493,106.9,146.74,275.39,90.54,265.77,299.64,159.81,82.0,147.59,234.14
H2494,158.95,100.12,189.6,228.35,19.77,146.24,296.07,24.65,253.45,167.25
H2495,123.45,275.81,287.55,21.55,188.09,280.07,27.25,277.69,119.08,254.06
H2496,227.84,180.69,51.03,178.38,178.11,281.51,170.34,250.02,112.82,260.2
H2497,199.9,22.47,243.21,197.15,166.5,99.42,299.97,138.66,297.35,219.94
H2498,134.05,181.71,12.5,265.87,125.14,258.96,219.49,235.99,202.25,22.32
H2499,81.75,96.91,173.36,102.37,59.87,257.3,69.69,272.22,188.68,115.27
H2500,79.69,202.09,157.75,279.48,192.18,100.12,11.53,143.96,111.32,262.93
H2501,286.99,231.0,71.38,49.12,41.9,288.99,255.8,58.72,75.5,56.66
H2502,136.62,61.53,288.04,238.17,79.24,122.78,218.29,63.6,14.51,22.04
H2503,115.97,144.9,238.03,91.25,170.12,132.52,85.42,194.21,129.38,144.48
H2504,114.89,155.09,187.2,194.95,60.81,217.76,253.93,129.29,91.98,63.39
H2505,90.59,246.69,98.78,93.91,234.17,225.63,98.38,145.02,247.25,132.29
H2506,152.06,84.58,50.67,271.69,283.73,159.93,76.72,223.94,74.42,69.99
H2507,24.39,81.94,84.85,131.74,60.13,172.22,219.03,44.46,196.48,186.27
H2508,241.45,195.04,233.54,246.2,93.49,108.11,207.07,202.43,200.09,16.53
H2509,89.38,213.3,119.92,138.87,189.15,217.72,280.16,54.45,163.03,279.41
H2510,111.38,222.46,283.45,51.6,214.24,35.98,195.43,293.08,211.33,243.25
H2511,117.8,10.5,222.1,162.88,249.58,280.18,269.3,53.39,283.18,113.87
H2512,72.13,283.6,220.01,237.36,291.14,54.15,58.02,251.2,213.98,221.65
H2513,255.47,105.8,43.65,163.02,156.76,121.99,11.96,223.59,63.83,138.12
H2514,121.23,51.76,186.37,223.12,206.22,148.59,20.08,41.64,189.42,265.81
H2515,55.52,27.3,19.38,295.73,135.64,266.91,227.09,132.67,102.16,68.24
H2516,53.44,201.85,156.11,231.91,46.43,83.14,173.72,189.13,202.74,223.71
H2517,206.55,228.44,201.29,255.62,82.49,213.12,249.86,270.8,278.6,50.83
H2518,252.03,89.44,155.28,37.37,276.79,77.53,62.14,226.53,191.51,266.66
H2519,162.22,121.59,284.46,226.81,71.59,243.29,191.63,177.92,113.94,23.74
H2520,46.7,20.82,211.85,138.7,161.81,225.91,11.18,250.81,59.56,121.69
H2521,169.23,169.63,160.89,268.44,80.26,246.27,126.47,203.13,189.14,127.73
H2522,34.28,136.83,204.73,164.81,255.46,269.85,140.01,183.23,151.24,189.26
H2523,236.19,174.45,148.88,35.46,15.26,275.15,278.56,215.98,265.1,46.49
H2524,153.3,177.87,80.79,297.13,85.74,73.18,228.44,94.73,292.32,219.62
H2525,289.71,54.41,265.42,28.61,219.93,206.57,106.71,44.57,288.51,208.82
H2526,10.48,114.01,295.22,282.83,55.13,215.84,267.73,167.14,255.44,65.18
H2527,217.19,217.79,37.68,132.76,226.23,85.81,194.03,94.79,105.92,64.05
H2528,102.97,255.43,293.85,80.92,97.09,111.02,87.58,235.9,216.33,72.92
H2529,221.66,231.99,48.44,18.39,162.48,242.6,68.04,30.79,295.48,258.51
H2530,221.45,44.46,22.78,56.31,174.24,125.44,281.34,33.17,166.24,138.28
H2531,99.37,46.44,240.65,43.47,122.41,162.96,237.99,191.45,261.52,223.52
H2532,14.03,206.61,282.58,68.11,140.05,28.82,272.38,288.21,191.38,268.36
H2533,222.45,274.12,209.69,241.51,161.26,178.83,240.12,22.61,158.75,189.04
H2534,95.29,228.05,233.84,140.07,173.41,293.97,20.26,56.27,192.89,146.14
H2535,72.62,143.03,106.21,83.07,75.96,265.78,33.8,135.46,109.92,142.93
H2536,164.09,132.75,78.58,23.01,158.61,151.37,86.64,202.91,296.48,213.65
H2537,78.18,189.76,264.91,225.72,157.3,225.04,290.66,52.19,243.13,133.64
H2538,17.69,46.49,198.73,213.01,30.93,114.93,172.51,88.68,128.04,230.79
H2539,29.64,206.52,144.42,36.71,56.21,169.19,200.19,282.88,17.76,94.28
H2540,234.71,171.68,29.42,219.64,80.87,79.74,199.43,254.73,225.01,36.79
H2541,15.49,173.84,10.23,272.22,290.68,26.55,82.22,287.43,144.21,171.23
H2542,262.7,58.18,255.39,28.12,62.65,213.5,21.09,70.68,101.7,288.18
H2543,76.52,105.05,146.08,286.2,63.5,37.03,288.22,145.37,240.53,60.66
H2544,212.44,233.15,195.56,295.78,174.7,290.12,180.15,159.55,174.27,255.26
H2545,266.24,56.7,173.26,78.99,26.57,95.56,114.05,88.14,31.69,120.82
H2546,214.6,118.66,28.67,194.52,33.78,159.32,256.22,10.43,189.45,81.26
H2547,275.94,221.89,79.39,191.23,25.87,245.27,146.15,31.44,104.48,166.89
H2548,183.29,233.73,210.3,57.09,32.18,92.01,236.15,138.01,73.3,294.05
H2549,155.73,18.43,248.75,234.11,249.39,153.46,107.43,99.45,282.26,216.89
H2550,39.42,225.64,251.93,166.31,91.21,192.02,94.95,65.65,111.4,28.61
H2551,34.21,253.71,285.46,256.42,226.54,22.45,57.11,206.96,191.83,68.17
H2552,52.4,110.98,184.41,233.17,59.52,49.81,109.7,131.69,246.09,151.51
H2553,57.53,83.3,47.48,223.18,160.4,54.62,100.59,25.62,34.96,264.48
H2554,260.84,93.99,174.41,133.72,83.46,71.02,199.43,84.03,283.68,207.86
H2555,254.15,126.1,42.91,161.69,175.74,232.33,46.42,167.11,93.45,264.91
H2556,12.63,159.66,299.15,90.7,11.88,212.94,204.11,134.86,23.03,88.17
H2557,243.64,223.74,56.32,223.24,94.24,51.24,15.48,275.16,190.6,180.63
H2558,101.18,154.49,195.02,13.99,242.63,19.46,40.43,96.13,284.92,221.53
H2559,110.76,98.56,271.7,260.47,71.25,44.33,77.25,141.1,221.89,200.11
H2560,121.4,125.18,163.73,277.66,76.37,254.57,49.9,183.31,159.12,201.66
H2561,238.44,197.54,287.94,212.36,81.64,99.5,235.41,131.69,104.76,145.19
H2562,129.46,21.45,230.46,243.22,260.53,241.05,13.55,188.85,187.7,74.59
H2563,90.17,188.15,237.56,204.27,43.55,84.62,104.72,72.87,72.58,105.61
H2564,225.63,24.27,76.46,194.98,113.77,224.49,102.42,19.42,266.58,246.4
H2565,231.82,87.37,144.64,74.42,247.84,227.32,70.67,157.7,119.81,239.05
H2566,289.55,214.29,24.72,272.72,232.62,86.31,91.97,85.16,100.35,257.12
H2567,247.99,299.12,189.25,135.12,190.12,53.16,218.31,133.01,188.37,253.52
H2568,154.57,94.32,265.08,107.84,184.75,178.15,281.15,56.19,54.0,232.56
